Representative,Financials,Utilities,Consumer Discretionary,Real Estate,Industrials,Energy,Consumer Staples,Materials,Health Care,Communication Services,Technology
Robert P Corker Jr,0.20074575985063792,0.00373339622952079,0.02983280681070211,0.08588772366062368,0.0919666801815451,0.13376380060018636,0.05509575488639913,0.007678234891181433,0.0933006354505669,0.004439595482832419,0.29355561195580443
Katherine M. Clark,0.057010106532507036,0.0037569727725046092,0.0438814046538667,0.005577281826458814,0.0431218862993978,0.023120457029413455,0.06402458917173245,0.02178620513500895,0.11440166195889878,0.013333501990056734,0.6099859326301545
K. Michael Conaway,0.14497318097157544,0.07371948134365144,0.09829466083447977,0.0020732368243467714,0.09319355387205142,0.06337604477646257,0.1380203345205039,0.016534294947107404,0.14666397878896423,0.026966377659051875,0.1961848554618052
Thomas Macarthur,0.19327425822918937,0.02003037191256323,0.0721214261691014,3.8175514395722855e-05,0.2037858041598086,0.0867444936093559,0.05314190664068535,0.04456804274730085,0.10625579991639315,0.012387867603922591,0.20765185349728385
Lois Frankel,0.1938562807972881,0.10159169084025105,0.08913713355503647,0.012487247868395671,0.18784305346273675,0.10685473097926695,0.07534135085347249,0.04926078746587441,0.06945483579062399,0.0,0.11417288838705418
Josh Gottheimer,0.018458250550324583,0.0,0.01951579675541196,0.0024111659264825108,0.024090288569319707,0.003124037708931414,0.004196143428703318,0.005931854430445626,0.017059546335424378,0.004266849097108511,0.900946067197848
David P. Joyce,0.24468319051555706,0.01562128535993047,0.07189064408054578,0.0,0.0839759981247343,0.022738072664979982,0.05929933721803506,0.010588772624326418,0.14359311702909922,0.009518405496674185,0.3380911768861175
Nicholas Van Taylor,0.02046554417427521,0.11504757464577145,0.004312160670165102,0.0,0.0,0.5064567364286673,0.229561048924632,0.0,0.12415693515648886,0.0,0.0
Robert J. Wittman,0.12006129255573743,0.01947058500380383,0.10734255793075638,0.021420649955819618,0.07085438084237176,0.05619402595079835,0.06602449464820832,0.018192874125841703,0.11126518236310048,0.011517307240178312,0.39765664938338374
Virginia Foxx,0.02462573936390639,0.08680950103507519,0.05438130346938163,0.08416312434640266,0.0406505143959556,0.2099685950258359,0.16944230308617772,0.1500695456600833,0.09225486701990063,0.014793409774068551,0.07284109682321238
Angus King,0.02899240402899241,0.0,0.08462942408462941,0.0,0.0,0.0,0.0,0.0,0.5735529265735531,0.266471138266471,0.04635410704635411
Donald Sternoff Beyer Jr.,0.40443230178776146,0.011558759521795515,0.16174158377285472,0.0,0.13383514564530227,0.0002837573231429004,0.10602858027000583,0.0,0.06269209631765979,0.03191422533681894,0.0875135500246585
Pat Roberts,0.1275626037588105,0.0,0.07522162920872472,0.0,0.11756259662910315,0.008692846374542667,0.0007362571682273676,0.0005730465599622725,0.0,0.27319501087815773,0.39645600942247156
Thomas Suozzi,0.10766875130984337,0.0017461325351634696,0.15873304761022744,0.009368774924179708,0.12175930185055849,0.07819469374244482,0.038705826286076245,0.01707905774671268,0.13523404596631147,0.020705587698020344,0.310804780330462
Dean Phillips,0.2387392509964616,0.003389285195071919,0.1510845366195683,0.00890689722731305,0.12188003833905539,0.004273647938450223,0.13460765708254033,0.05118173677126558,0.09773356972753895,0.05197963363203238,0.13622374647070215
David Perdue,0.1976312185359805,0.0,0.07241058108570361,0.0,0.08895362368467481,0.09244063727432564,0.10742271137762646,0.019289281873252052,0.15200285884184225,0.013988967404917023,0.2558601199216777
Daniel Crenshaw,0.04088937900425179,0.0,0.33724796489388315,0.0,0.2194442664905637,0.02091869107925737,0.014905160070514267,0.0,0.03150711315208928,0.1853817093759688,0.14970571593347182
Dan Sullivan,0.0,0.0,0.19067802580400603,0.0,0.0,0.0,0.0592274806177004,0.0,0.08775720615993468,0.3272697318053015,0.33506755561305757
Jonathan Jackson,0.04439174894194953,0.0,0.19270124274648973,0.0,0.23724914400463645,0.08068754276500235,0.04057220139070332,0.07351912681374494,0.04148215930857732,0.11126927211503945,0.1781275619138569
Victoria Spartz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas H. Kean,0.0,0.0,0.0,0.0,0.929402944,0.0,0.0,0.0,0.0,0.070597056,0.0
Daniel Goldman,0.05996148578467786,0.04279836643886018,0.1182203977338555,0.04488170421757968,0.013719357592465679,0.0009386953159373015,0.14989018145164537,0.04214821010681537,0.1837375933914711,0.09309057682905356,0.25061343113763834
Michael C. Burgess,0.22098932894696252,0.0,0.21602584194815388,0.0,0.10447645597492573,0.12074042197102228,0.0,0.09714840697668442,0.14850198920435956,0.06287343598491038,0.02924411899298134
Judy Chu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E. Scott Rigell,0.10781689656207614,0.015474339142328961,0.09474387601584024,0.0,0.09940680314742374,0.11467460434095951,0.15819654625597884,0.018742410480235384,0.20495349858825687,0.0018343860096380956,0.1841566394572622
Rubén Hinojosa,0.11215055542161156,0.0,0.03261554487628191,0.0,0.015993620488297607,0.05573313456182233,0.08354027028190834,0.0,0.15055662325533015,0.5494102511147481,0.0
James M. Inhofe,0.0864044320572287,0.0,0.035177842848273445,0.0,0.061861361525812286,0.05975398930590218,0.0012359933630052018,0.024240054154328932,0.3142468442836391,0.03343864348694884,0.3836408389748613
Sheldon Whitehouse,0.20666296246436092,0.0023990745475027876,0.0397473301480185,0.023702818845419606,0.090749595775304,0.0,0.07052295603849013,8.852794121512007e-05,0.1700619607817255,0.06376242342623567,0.33230235003172787
Lamar Smith,0.07714956627843136,0.0,0.1230555632273119,0.012690224723545028,0.15182567364571334,0.006739451107855815,0.14090485755746993,0.008677889085379819,0.25254529394085445,0.05640026670014142,0.1700112137332969
John F. Reed,0.03806754973488566,0.0004603481703264853,0.00081514689149346,0.0,0.07421660826829485,0.0006523718549936341,0.0006116780939538454,0.0005328339285882985,0.3274885553647455,0.0,0.5571549076927181
Earl Blumenauer,0.09252413975358255,0.03923694458631105,0.030223103328714918,0.06501158211930645,0.0511911174954138,0.0,0.12386145859988078,0.08837936558485004,0.21598480475525042,0.1766323795390554,0.11695510423763456
David A. Trott,0.7209427056716124,0.0,0.0,0.0,0.0,0.2790572943283875,0.0,0.0,0.0,0.0,0.0
Susan A. Davis,0.0,0.0,0.25260413850350616,0.0,0.10307586094921596,0.0,0.0062810027036411045,0.0,0.03132244464076172,0.055781539668316636,0.5509350135345584
Greg Gianforte,0.1325210337243743,0.0,0.12197196026837537,0.013175657621132628,0.18940524407822312,0.0,0.12005276843683844,0.07563935563279135,0.1899623813838074,0.028970193863184564,0.12830140499127268
Donna Shalala,0.04693209787144126,0.0,0.5050096270483113,0.04644352841327579,0.13151673888094365,0.020439842813035923,0.10442722770483671,0.021279674005141323,0.04496065184510925,0.0,0.07899061141790478
